id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,yakasi
942037389557160613,481756136,Beyoglu,41.023197549613016,28.97597749292112,Entire home/apt,5213.0,1,84,2025-09-28,3.17,5,344,36,Avrupa
942070432769930321,436632207,Beyoglu,41.0337529933034,28.968924296785257,Entire home/apt,7112.0,3,18,2025-07-18,0.74,15,334,8,Avrupa
942073394526865056,462329958,Beyoglu,41.02523313620523,28.9712010642364,Entire home/apt,2591.0,100,0,No Review,0.0,2,365,0,Avrupa
942080310172279609,436632207,Beyoglu,41.032316719363145,28.96992609610025,Entire home/apt,5054.0,4,4,2025-09-13,1.46,15,357,4,Avrupa
942146337224628416,7152171,Beyoglu,41.0331045272314,28.986293859779835,Entire home/apt,6655.0,100,14,2024-09-23,0.55,1,324,0,Avrupa
942169174198702346,400940586,Kadikoy,40.99470656262451,29.029659087146165,Private room,1604.0,100,3,2024-02-14,0.12,1,269,0,Anadolu
942343173035097292,484774897,Esenyurt,41.03494,28.66185,Entire home/apt,1800.0,100,0,No Review,0.0,5,269,0,Avrupa
942343355554272057,427449760,Esenyurt,41.02514,28.62589,Entire home/apt,2760.0,100,0,No Review,0.0,3,365,0,Avrupa
942345275107833587,427449760,Esenyurt,41.02325,28.62482,Entire home/apt,4383.0,100,0,No Review,0.0,3,365,0,Avrupa
942400479830760416,257168714,Sisli,41.04408,28.98565,Entire home/apt,5447.0,5,53,2025-09-19,2.08,5,168,18,Avrupa
942426521689991777,51509065,Beyoglu,41.026115528997934,28.97625017130547,Entire home/apt,3513.0,3,0,No Review,0.0,3,270,0,Avrupa
942429950261121703,237892516,Besiktas,41.0515729,29.0056308,Entire home/apt,2458.0,1,107,2025-09-21,4.06,39,179,53,Avrupa
942459247905659566,448723885,Basaksehir,41.07464185164392,28.6571409359466,Entire home/apt,2392.0,100,1,2023-08-27,0.04,4,269,0,Avrupa
942482788202823500,525012583,Basaksehir,41.09625,28.78036,Entire home/apt,2484.0,100,0,No Review,0.0,1,365,0,Avrupa
942508844667622659,471625212,Avcilar,40.979796,28.7401913,Private room,1040.0,100,0,No Review,0.0,1,269,0,Avrupa
942526638563158413,527581378,Fatih,41.00455,28.95422,Entire home/apt,2730.0,100,2,2023-12-31,0.08,1,365,0,Avrupa
942534823075668638,523042251,Besiktas,41.07495541114255,29.023449205425788,Entire home/apt,3000.0,100,0,No Review,0.0,1,365,0,Avrupa
945322951083882254,500195925,Arnavutkoy,41.32473524858843,28.71642507612705,Entire home/apt,2072.0,1,212,2025-09-29,8.05,1,150,110,Avrupa
945346044585901214,139104797,Bagcilar,41.04342,28.81147,Entire home/apt,2501.0,30,10,2025-09-23,0.39,86,176,7,Avrupa
945374925027823128,309929723,Esenyurt,41.01785235745875,28.694541938602928,Private room,560.0,100,0,No Review,0.0,1,364,0,Avrupa
945390090353426329,386632280,Beylikduzu,40.98330088705765,28.6579629778862,Entire home/apt,2495.0,100,1,2023-10-28,0.04,8,365,0,Avrupa
945398611037256682,149669711,Zeytinburnu,41.02479,28.90085,Entire home/apt,1628.0,100,17,2024-10-18,0.71,1,334,4,Avrupa
945487861335479420,470875269,Beyoglu,41.031,28.97268,Private room,4400.0,100,0,No Review,0.0,5,365,0,Avrupa
945506743778535386,470875269,Beyoglu,41.0332,28.97456,Private room,4600.0,100,0,No Review,0.0,5,365,0,Avrupa
945610512347415502,334675357,Fatih,41.00583682303602,28.970153331756592,Entire home/apt,1914.0,2,77,2025-09-21,3.12,6,339,30,Avrupa
945615422271179058,265218325,Besiktas,41.0540199,29.0261039,Entire home/apt,2000.0,100,0,No Review,0.0,2,365,0,Avrupa
945674596757351872,44610457,Kucukcekmece,41.01883,28.77042,Private room,414.0,100,1,2024-01-17,0.05,1,364,0,Avrupa
945690514979799711,135557900,Sisli,41.11699,29.01405,Entire home/apt,3680.0,100,2,2024-07-09,0.13,1,365,0,Avrupa
945762333740970187,474703692,Besiktas,41.05616865609981,29.0264718038734,Entire home/apt,4180.0,100,0,No Review,0.0,1,364,0,Avrupa
945900682666561484,264825045,Beyoglu,41.05160879276306,28.959534466266632,Entire home/apt,663.0,100,1,2023-11-05,0.04,2,364,0,Avrupa
945965487065286155,504644853,Basaksehir,41.0640509,28.7767704,Entire home/apt,2162.0,100,1,2023-08-03,0.04,1,364,0,Avrupa
946057404061008772,463029921,Kucukcekmece,41.0476042,28.7795142,Private room,913.0,100,0,No Review,0.0,1,269,0,Avrupa
946090827667911410,528555202,Maltepe,40.94892,29.11064,Entire home/apt,2113.0,101,4,2023-10-19,0.15,2,180,0,Anadolu
946193068666153136,834407,Sisli,41.06250771631195,28.98699784598096,Private room,440.0,100,0,No Review,0.0,1,269,0,Avrupa
946202787631024453,527812126,Bakirkoy,40.9903302,28.8797698,Private room,880.0,100,1,2024-05-28,0.06,1,270,0,Avrupa
946236221838885629,500755681,Beyoglu,41.03133452332882,28.978714424194635,Entire home/apt,2375.0,1,145,2025-09-25,5.49,1,253,79,Avrupa
946243625786349405,455053023,Beyoglu,41.0312999,28.9787839,Entire home/apt,1920.0,2,26,2025-08-16,0.99,3,137,15,Avrupa
946250513802189760,51929289,Kadikoy,40.98883482670934,29.027506232169845,Private room,947.0,2,88,2025-09-23,3.46,5,138,41,Anadolu
946251037630761369,43659132,Beyoglu,41.02528175652554,28.97650783604529,Entire home/apt,3367.0,100,13,2025-06-29,0.5,8,335,3,Avrupa
946257820531748794,496566485,Sisli,41.0428067,28.9854869,Entire home/apt,1818.0,100,0,No Review,0.0,2,365,0,Avrupa
946282844651413278,496216377,Beyoglu,41.02815,28.97331,Entire home/apt,2610.0,2,39,2025-08-23,2.59,3,214,28,Avrupa
946299193378518959,417260628,Esenyurt,41.02201176016597,28.68146985769272,Entire home/apt,3119.0,100,1,2024-09-12,0.08,34,179,0,Avrupa
946330062455925713,306686115,Uskudar,41.041475325045546,29.049420979366207,Private room,1245.0,100,0,No Review,0.0,1,365,0,Anadolu
946382845480069934,447700652,Beyoglu,41.03751,28.96721,Entire home/apt,1627.0,1,64,2025-09-24,2.48,4,327,34,Avrupa
946401509170586875,528650616,Sisli,41.0532359,28.9713082,Private room,480.0,100,0,No Review,0.0,1,269,0,Avrupa
946405843706720183,528629305,Fatih,41.00495079309624,28.9705214,Entire home/apt,2318.0,1,65,2025-09-16,2.47,3,362,32,Avrupa
946420504822982868,454807738,Bagcilar,41.0541254,28.8128998,Entire home/apt,1664.0,100,5,2023-12-19,0.2,1,365,0,Avrupa
946440557081002168,528661734,Sisli,41.04609285011146,28.98568753678772,Entire home/apt,1142.0,100,0,No Review,0.0,1,364,0,Avrupa
946476589583658317,326108337,Basaksehir,41.07319,28.7782,Entire home/apt,1720.0,100,0,No Review,0.0,1,363,0,Avrupa
946576079962140584,395595884,Fatih,41.00493,28.973685,Private room,6294.0,100,0,No Review,0.0,3,365,0,Avrupa
946817492311651627,528624967,Bakirkoy,40.9892195,28.8726181,Private room,2400.0,101,0,No Review,0.0,1,365,0,Avrupa
946847394636110023,43659132,Beyoglu,41.02373,28.97753,Entire home/apt,3359.0,100,33,2025-09-24,1.34,8,354,27,Avrupa
946853593913620724,43659132,Beyoglu,41.02373,28.97779,Entire home/apt,3583.0,100,28,2025-09-20,1.07,8,347,16,Avrupa
946857310129588241,48162924,Kadikoy,40.98892003628833,29.025851187251032,Entire home/apt,1914.0,100,5,2024-07-28,0.21,1,269,0,Anadolu
946858281351848487,43659132,Beyoglu,41.02494005276383,28.97631380763133,Entire home/apt,4545.0,100,21,2025-09-25,0.85,8,352,9,Avrupa
